report,category,severity
Two crew members were on board a sailing vessel and both sustained dismast injuries. One casualty sustained a back injury while the second casualty sustained a head injury. ,Accident to person(s),Low
First general cargo was moving from one quay to another within the same port when the vessel was caught in the wind. This resulted in collision with another general cargo vessel which suffered damage to handrails. The first general cargo reported no damage. ,Collision,Low
"A tug was assisting a general cargo vessel into a lock when it parted its towing line. The tug was acting as the stern tug at the time of the incident. No damages, injuries or pollution were reported, beyond the parted towing line. ",Damage / Loss Of Equipment,Critical
"Products tanker was on passage when two crew members fell on the deck, resulting in a minor head injury to one crew member and the second one suffered bruising to their chin. It was found to be initially potentially serious injuries after the accident happened however their conditions improved vastly that no medivacs were not required in the end.",Accident to person(s),Critical
"Pilot ladder was not rigged per current SOLAS regulations. The rigging of the pilot ladder was not checked, or the embarkation and/or disembarkation of the pilot was not supervised by a watch keeping deck officer.",Damage / Loss Of Equipment,Critical
Container ship's pilot ladder did not conform to SOLAS regulations. Tripping line secured below lowest spreader leading aft. Magnets less than 1.5m above platform. Master briefed and action onboard taken to prevent reoccurrence not further action required. ,Damage / Loss Of Equipment,Critical
A container vessel had an inadequate pilot ladder arrangement because the accommodation ladder was at a very steep angle and the length of the climb of the loose ladder was more than 9 meters. The vessel crew were not able to rig a safe set up due to the draft of the vessel.,Damage / Loss Of Equipment,Critical
Container ship's pilot ladder did not conform to SOLAS regulations as it was defective. Pilot declined boarding until safe arrangement rigged. Agent and Terminal advised. Vessel rigged new ladder,Damage / Loss Of Equipment,Critical
"A cruise ship passenger was moving around their cabin in darkness when they fell into the television and the bulkhead. They attempted to steady the television but fell backwards and landed on their hip, sustaining a fracture. The passenger normally used a walking aid, but they were not using it at the time of the accident and the lights in their cabin were also switched off. There were no defects found in the cabin.",Accident to person(s),Low
Vessel caught fire in a Marina. RNLI and CRT tasked to vessel. Fire extinguished using vessels inert gas system.,Fire / Explosion,Medium
"A passenger on a cruise ship fell whilst they were asking a crew member for directions. As they were walking, they fell over and landed on their left side, dislocating their shoulder. The passenger had some health problems which may have contributed to the fall. The passenger also reported that they had consumed alcohol before the accident happened.",Accident to person(s),Low
"A single handed sailing dinghy skipper was seen floating face down next to their capsized vessel. Nearby vessels responded and recovered the person from the water, who had been there for about 10 minutes, and took them ashore. The local lifeboat station did not launch the vessel but two members who were paramedics came over and offered first aid and oxygen. The person was conscious and breathing when the ambulance arrived to take them to hospital. As well as injuries from immersion, the person reportedly had a minor head injury. ",Accident to person(s),Low
"A replenishment tanker was at sea, a crew member passed through a manual watertight door. As the crew member went to close the door the vessel rolled, the crew member took the weight of the door but caught their finger in between the handle and door frame. The crew member was transported ashore for further investigation and treatment for a fractured finger.",Accident to person(s),Low
A container ship's port quarter made contact with the quayside during berthing operations on an ebb tide resulting in damage to one upright fender panel and housing. No damage sustained to the vessel.,Contact,Critical
Container ship's pilot ladder did not conform to SOLAS regulations. Ladder secured with deck tongue,Damage / Loss Of Equipment,Critical
"A search and rescue (SAR) vessel was coming in for recovery onto it's carriage. The vessel in line with the carriage and was in the process of following a wave into the carriage, the wave unexpectedly flattened and dissipated and at the same time another wave came in which caused unalignment very close to the trailer. As the helm had committed to this manoeuvre the decision was made to beach the vessel. Once the SAR vessel was recovered , an inspection was carried out and the engines were run and flushed through. There was no evidence of damage to the vessel or pollution on the beach.",Grounding / Stranding,Low
Ro-Ro vessel's ladder was not rigged per current SOLAS regulations. Ladder secured using choke shackles and spreader hard against stanchions ,Damage / Loss Of Equipment,Critical
PW user came off their privately owned craft. Wearing a buoyancy aid but knocked unconscious and floating face down for approximately 30 minutes before being recovered by the RNLI. They were declared deceased at 2300 on 29/05/2023.  ,Accident to person(s),High
A singe handed sailing vessel was taking part in a challenge and was reported as overdue. The vessel had no AIS and no satellite. The vessel was overdue by ten days and then the boat was found empty by a passing fishing vessel. The RNLI towed the sailing vessel to harbour and the sailing skipper is presumed deceased.,Accident to person(s),High
A container vessel had an inadequate pilot ladder arrangement due to the fact that the ladder was in poor condition. There were no rubber chocks for the steps.,Damage / Loss Of Equipment,Critical
A container vessel crew member was on aft mooring stations when their foot was caught by a mooring line and they sustained a fracture. They were medically disembarked from the vessel. ,Accident to person(s),Low
Heavy load carrier's pilot ladder did not conform to SOLAS regulations. Bottom spreader not horizontal. Master assured me that this would be looked at and rectified. Presumed side rope stretched from previous port.,Damage / Loss Of Equipment,Critical
"Fishing vessel's low level engine room bilge alarm was set of by one of the crew members as there was water ingress about the deck plates. The crew took action by placing 2 submersible pumps into the engine room bilge and turning the main engine room pump on. The crew had 2 lifeboats and all were wearing lifejackets. There was no injuries to the crew members. The flooding occurred due to an old pipework however, the crew managed to minimise the damage and requested a tow. ",Flooding / Foundering,Critical
"A crew transfer vessel manoeuvred away from a turbine against the wind when it started to drift. The vessel was getting closer to the turbine and the stern portside platform made contact with it. No damage to the turbine reported however, slight damage was reported to the fender bar above the water jets.",Contact,Critical
A cruise ship passenger was taking a shower when their foot slipped and they consequently fell and sustained a fracture to their left ankle. The onboard emergency call was activated and the guest was taken to the medical centre for treatment. The area where the accident occurred was examined and the shower base was found in good condition without any obvious defect. The occurrence was reported to have happened due to carelessness on the part of the passenger. ,Accident to person(s),Low
"A RIB with ten passengers onboard was on a trip along the coastline. During the trip, a wave came up under the vessel, a passenger went to brace by putting weight onto their feet. This caused a spasm in their back, the skipper radioed for assistance. The RIB headed back to harbour and was met by a search and rescue (SAR) vessel and paramedics who evacuated the passenger. The passenger was taken to hospital for assessment and treatment.",Accident to person(s),Critical
Service vessel's pilot ladder did not conform to SOLAS regulations. Attached with shackles.,Damage / Loss Of Equipment,Critical
Container ship's pilot ladder did not conform to SOLAS regulations.,Damage / Loss Of Equipment,Critical
"Four ribs came towards a passenger vessel at high speed crossing the river intermittently, the Master of the passenger vessel slowed and prepared to stop when one of the ribs crossed directly in front of them. The rib owner panicked then lost control and the vessel capsized. The single occupant was under the water for a few seconds then resurfaced unharmed, the passenger vessel was then subjected to harassment by the other rib users, Police were informed but no persons attended. Once it was evident that no person were injured and that the occupant was being properly assisted the passenger vessel continued back to it's mooring.",Collision,Critical
"A sailing vessel was dismasted and unable to steer and issued a mayday with a handheld VHF. The search and rescue services responded and the local lifeboat service located the vessel first. They rescued the crewmember from the vessel and were initially unsure if a tow for the vessel could be set up as it was in very poor condition. The vessel was successfully towed back to port but the lifeboat and emergency services would not allow the skipper or anyone else to board onto the damaged vessel as it was deemed too dangerous. The crewmember was unharmed and made their way back to stay with friends, as they could not go home because the boat was their home. The sailing yacht reportedly lost two inflatable dinghies overboard, one that was being towed and one that was rolled up and uninflated. They were not located. ",Loss Of Control,Critical
"A research vessel crew member was recovering the anchor using the electric winch. A winch handle was in place but not used, this struck the crew member on the leg causing a large amount of bruising as was diagnosed at the hospital when the vessel returned to harbour.",Accident to person(s),Critical
"A search and rescue (SAR) vessel had been lowered into the water by a boatyard travel hoist. As the shore crew were releasing the shorelines a gust of wind picked up as the vessel started to make it's way out of the lifting area, the vessel was blown onto the side of the berth and caught the travel hoist block against the top of the vessel's guardrails. This caused the guardrail stanchions to lever the toe-rail inward from the deck of the vessel, loosening it along most of its length.",Contact,Critical
"A cruise ship passenger was showering alone, sitting on a chair. They reached out to a grab rail to reposition a chair and fell off as the chair shifted. This resulted in a fractured hip and femur and the passenger was medically evacuated via helicopter.",Accident to person(s),Low
A chemical tanker's pilot ladder did not conform to SOLAS regulations. The port side pilot ladder presented is damaged and not in a safe condition to be used to board.,Damage / Loss Of Equipment,Critical
"The vessel was seen navigating within 0.2nm, believed to be attempting to retrieve a lifeboat that the vessel had lost earlier in the day. The vessel was contacted several times by VHF and agent called and advised to navigate away from islands. The lifeboat has washed ashore and an attempt to recover/salvage will be made.  ",Damage / Loss Of Equipment,Critical
A fishing vessel suffered engine failed resulting in a tow back to port. The fishing vessel broadcast a Panpan requesting a tow from as the vessel was drifting. A search and rescue (SAR) vessel deployed to the scene as the fishing vessel was starting to drift amongst other shipping and there was concern for the two crew onboard. The vessel was towed to a harbour.,Loss Of Control,Critical
"Bulk carrier's pilot ladder did not conform to SOLAS regulations. A tripping line was fitted to the bottom of the ladder, or was rigged not in accordance with IMO Resolution A.1045(27) 2.1.5.",Damage / Loss Of Equipment,Critical
"A search and rescue vessel was being recovered to the carriage, as they reversed, the port sponson was outside the trailer gate which caused the port outboard engine to make contact with the drawbar on the carriage. As they drove forward to rectify it, the vessel was pushed against the port side of the trailer. The vessel, carriage and outboard engine were checked for damage. There were no injuries or pollution. The incident occurred due to the weather conditions.   ",Contact,Critical
Not available Under Permanent Cooperation Framework (PCF),Collision,Low
"A twin rig trawler suffered main engine propulsion failure after a suspected issue with the sea water pump and cooling system. The main engine reportedly suffered overheating and there was 'no water' in the system. The vessel was towed by another fishing vessel, however the towing line parted multiple times. A search and rescue vessel was then dispatched to stand by to monitor the situation and the safety of the crews on both vessels, due to the inclement weather and the tow line parting multiple times. The stricken vessel was successfully brought back to a harbour where the towing fishing vessel assisted them in berthing. There were no injuries or pollution. It is unknown if the overheating of the main engine caused any lasting damage. ",Loss Of Control,Critical
"A recreational sailing vessel was demasted and one crewmember injured their back in the incident. The crewmember made their own way to hospital after the vessel was towed into port by the local lifeboat service. There were no other injuries, damage or pollution. ",Damage / Loss Of Equipment,Critical
"Container ship's pilot ladder did not conform to SOLAS regulations. Whilst descending ladder noted a step winnet missing and some splintering on the lower steps, advised crew immediately. Starboard side ladder. Ladder secured correctly but stored on a ladder reel which may well have caused over compression and the damage noted. Crew immediately informed",Damage / Loss Of Equipment,Critical
"An offshore supply ship was transiting through a channel in order to berth, when the vessel hit bottom. This resulted in possible damage to the vessels propeller. ",Grounding / Stranding,Low
A replenishment vessel crew member was returning to their cabin when they tripped and fell sustaining a shoulder fracture. They were taken for further medical assistance.,Accident to person(s),Low
"Oil tanker's pilot ladder did not conform to SOLAS regulations. Combination gangway was lowered to 1m above sea level, no pilot ladder was rigged.",Damage / Loss Of Equipment,Critical
"While supervising a refresher training session on a ferry, the fixed eye spliced line was put onto the bollard incorrectly. The supervisor decided to change the lines position when their finger got caught in between the staghorn and eyesplice as the line pulled tight. The casualty lost their nail and sustained a fractured finger. ",Accident to person(s),Low
"On board a general cargo vessel during routine maintenance to the spare exhaust valve, the 2nd engineer seriously injured both of their hands when testing the valve. On activating the exhaust valve using compressed air, the 2nd engineer's hands became trapped between the valve seat and the valve spindle. The valve spindle did not initially close as expected after opening the working air, the 2nd engineer placed their hands between the seat and the spindle before the valve suddenly activated, catching their hands between the spindle and seat. There was no information as to why the 2nd engineer chose to put their hands between the valve seat and the spindle. ",Accident to person(s),Low
A ro-pax vessel crew member was cleaning up oil from a leak on forward main engine (running at time) near the fly wheel when they put their fingers around the edge of the guard plate whereupon the moving flywheel made contact and caused a deep cut to the tip of the ring finger on the right hand. First aid was given and later on further medical treatment was required.,Accident to person(s),Low
"A sailing vessel  was on fire resulting in one person in the water not wearing a lifejacket. Two search and rescue vessels were tasked to look for the person in the water. The person was recovered from the water, taken ashore and onward to hospital for medical treatment. The person had burns and ingested water. The sailing vessel burnt and then sank.",Fire / Explosion,High
Cargo vessel's pilot ladder did not conform to SOLAS regulations. The ladder was rigged using shackles. ,Damage / Loss Of Equipment,Critical
"Container ship's pilot ladder did not conform to SOLAS regulations. Trapdoor combination system utilised. Side ropes do not extend high enough above the platform requiring pilots to step up when transferring from Ladder to platform. The fastening for the ladder is possibly over 1.5m above the platform, however due to the fastening/splices used to secure the ladder the entire 1.5m is not easily used as a handhold.",Damage / Loss Of Equipment,Critical
"A ro-pax vessel (1) was on passage and approaching a channel, vessel 1  was navigating off the charted course line (but in safe water) as provided by the company passage plan for the route. This led to the vessel ‘cutting the corner’ and entering the approach channel at a later point than charted. Another ro-pax vessel (2) was berthed and preparing to depart.  In line with a local code agreed by port users, vessel 2 made a safety broadcast warning of intention to depart the berth. A smaller ro-ro vessel (3) also made a safety broadcast and intended to follow vessel 2. Vessel 1 had mistakenly identified the broadcast had come from another ro-pax vessel (4) which gave it outbound priority. Vessel 1 intended to delay entry to the channel until the outbound vessel 4 was clear, the departure message of vessel 3 had not been heard. Vessel 1 made a VHF broadcast that they would delay their entrance into the channel  until vessel 4 had cleared. The reference to vessel 4 was noted by vessel 2, but assumed to be of no practical consequence.  Onboard vessel 1 crew queried the broadcast reference to vessel 4, stating that vessel 4 should be alongside at another port (which it was). The crew did not establish which vessel the departure message had come from and concluded that the inbound transit should be clear of traffic. Vessel 1 was approximately 2 cables from the course line into the approach channel when navigation lights of an outbound large vessel 2 and another outbound vessel 3 were sighted almost simultaneously. The crew tried to identify the vessels, with no apparent assessment of possible risk of collision or requirements for avoiding action. Vessel 1 reduced speed but with no course alteration, the vessel overshot the charted course line.   Vessel 2 called vessel 1 to ascertain intentions, received information that vessel 1 will come to starboard to keep clear. Both vessels passed within 0.5 cable, Vessel 1 had reduced speed to around 3.5 kts, while vessel 2 maintained speed of 12.8 kts and steered around the slower moving vessel 1. Vessel 3 passed clear of vessel 1.",Collision,Critical
"A search and rescue vessel was landing a rescued person ashore when the forward part of the vessel sustained damage. When trying to approach the drop off area a swell came and lifted the vessel causing the forward inflatable sponson to come into contact with the rocks. The rescued person successfully disembarked the rescue vessel but afterwards the crew of the rescue vessel noted that the forward sponson had begun to deflate due to a 13cm tear. The rescue craft requested assistance from another search and rescue boat to tow them back to their launch station. The damaged search and rescue vessel was still able to float and proceed, but the tow was requested as a precaution due to the inclement weather and fading light. There were no injuries or pollution. ",Grounding / Stranding,Low
"During daily rounds on a ro-pax vessel it was reported there was an oil leak from the hydraulic pipe work for the bow door controls.. Four crew members were carrying out the repair. One crew member passed a bucket of hydraulic oil while standing in the compartment and fell to the deck. The injured crew member was assisted back to their cabin, where they were initially assessed by crew on board.  The crew member was taken to hospital for further investigation where they were diagnosed with a pneumothorax (collapsed lung). The compartment floor was inspected and was clear of oil, but cluttered.",Accident to person(s),Low
A bulk carrier's pilot ladder was not rigged in compliance with SOLAS guidance. Ladder only secured with shackles over the side ropes.,Damage / Loss Of Equipment,Critical
"A cruise ship crew member was trying to unblock a vacuum toilet. They had removed an elbow joint to carry out the task, whilst trying to reconnect the elbow joint to the pipe they lacerated two fingers (one on each hand) on the sharp edge of the pipe. The crew member was not wearing the correct PPE for the task.",Accident to person(s),Low
"A cruise ship passenger was playing table tennis when they fell backwards after trying to stretch for the ball. They landed on their left side and they tried to use their left arm to soften their landing, but sustained a fracture. They were wearing sports shoes at the time and the area did not have any defects. The injury was put down to carelessness.",Accident to person(s),Low
"A SAR vessel made contact with a metal plate resulting in sponson being punctured. As the Inshore Boat was being brought alongside a floating pontoon at a low speed the port shoulder, made contact and dipped slightly under the deck of the pontoon making contact with a vertical metal plate. The port sponson punctured as a result.",Contact,Critical
"A ro-pax vessel had contractors onboard to carry out a fumigation. The contractors had started the work without checking that the vessel was clear of personnel, a crew member who was still onboard inhaled the pesticide smoke as they were exiting the vessel. They held their breath until they were clear of the area and washed their eyes with saline water as they were stinging. The crew member phoned for medical advise and was advised to go to hospital for further assessment. The crew member returned to work the following day.",Accident to person(s),Critical
"A ro-pax vessel passenger slipped and fell hitting their head resulting in a concussion. The vessel was enroute to the port at the time of the incident and an ambulance was called but due to high levels of traffic around the port, the passenger was driven to hospital for an assessment.",Accident to person(s),Critical
"The general cargo vessel was under tow by two tugs as it had a damaged rudder. During the towage operation, the pilot/master operated the vessel's engine, this increased the speed of the towed vessel and increased the towed vessel’s tendency to sheer to port.  The vessel was asked to stop the engine and the stern tug to apply weight to slow and stabilise the tow.  The bow tug's bridle made contact, and damaged the forward mast. No injuries to crew were reported.",Damage / Loss Of Equipment,Critical
Ladder secured with shackles with weight of the ladder being taken by the legs on the top grid platform.,Damage / Loss Of Equipment,Critical
"The ro-ro cargo vessel had entered a lock, when it rubbed along an ACL fender and the fender was at the same height as the pilot door, which wasn’t protected in the end by the vessel's belting. The pressure of the fender caused the pilot door to be set in by 15cm and the middle and lower door links to bend. The crewmembers managed to repair the damage and the vessel departed as planned bound for a different port.",Contact,Critical
Cruise ship passenger fell over backwards onto the deck when the ship moved suddenly in rough weather. This resulted in a dislocated shoulder and the casualty remained on the vessel. ,Accident to person(s),Low
"On board a ro-ro/Passenger vessel, an elderly passenger sustained a broken hip caused by falling from their bed. Shore authorities contacted by vessel's crew to arrange ambulance attendance at destination port in the UK. Once alongside, the injured passenger was successfully disembarked and taken by the ambulance crew. ",Accident to person(s),Low
"A stern trawler was on passage to port when they experienced propulsion failure. The crew transmitted a VHF call for assistance and there were no other vessels in the vicinity who could set up a tow, so the local search and rescue service launched a lifeboat that towed the vessel back to port. There were no injuries, pollution or damage. ",Loss Of Control,Critical
A fishing vessel with two people on board experienced steering failure and requested to be towed back to safe waters. A search and rescue (SAR) vessel was deployed and towed the vessel back to safety. There were no injuries or damage reported.,Loss Of Control,Critical
"A  disabled crew member was hit by the boom in the chest, as result, they were unable to continue on passage and were taken off by a lifeboat for hospital treatment. The vessel also suffered overheating of both of its engines, as result, the lifeboat also had to tow the vessel into a port safely. ",Accident to person(s),Critical
"A general cargo vessel crew member was opening an engine room emergency escape hatch when they lost their balance and fell, sustaining a broken elbow. The vessel reported that the crewmember was standing in the 'wrong position' to operate the emergency escape hatch which resulted in them overbalancing. Their elbow was broken as a result of their fall. The crew member was disembarked to hospital and required surgery to correct the damage caused by the broken elbow. The crew on board the vessel were reminded of the correct opening procedure for the hatch. ",Accident to person(s),Low
A motor vessel ran aground and suffered engine failure. The tide was on the ebb with the crew on board at risk of environmental exposure. The crew were evacuated by a helicopter and the vessel towed to shore at a later point.,Grounding / Stranding,Low
"A replenishment tanker crew member was descending through a hatch into a void compartment within the bow visor. The top area of the hatch had a small vertical ladder that was able to move in a fore and aft direction and was secured by two bolts but was not fixed. Whilst descending this small ladder, the crew member lost their grip and fell, sustaining a broken ankle. ",Accident to person(s),Low
A bystander has seen a collision between a commercial rental river cruiser and a motor cruiser. The rental vessel has exceeded the 4knt speed limit and upon colliding with the other vessel the a child passenger was thrown to the deck. ,Collision,Low
"The vessel was returning to harbour when the temperature alarm activated. Smoke was coming out of the exhaust and intake vents, the intake and exhaust vents were closed and the fuel supply shut off. The onboard fixed firefighting system was activated. Two police vessels assisted with towing the vessel back with two tugs in assistance if required. Once alongside the fire service took over and boarded the vessel to assess. There were no injuries or pollution reported.",Fire / Explosion,Medium
Inland passenger vessel was disembarking passengers when they slipped on the edge of the pier and fell. This resulted in the passenger to fall onto their knees and one of their legs went between the pier and the boat. The vessel fendering was holding the vessel off the pier as normal. The passenger sustained an arm fracture and was taken for further medical assistance. ,Accident to person(s),Low
"A yacht ran aground at the entrance to a marina causing a hazard to navigation. The single crew member on board left the vessel with the aid of local lifeboat and later returned with lifeboat crew to maneuver the vessel to safety once the tide had started to rise again. There were no injuries, damage or pollution reported. ",Grounding / Stranding,Low
"The passenger was proceeding to the toilets. As they were being assisted out of their wheelchair, they stumbled and fell, landing on their right arm and hitting their head. With assistance from their partner and a crew member they were able to get back up. The passenger went to the medical centre to receive medical treatment for a fractured right wrist. The passenger remains onboard. ",Accident to person(s),Low
"A dive boat was navigating an area on a falling spring tide when the vessel grounded on a reef that the crew were not aware of and was not charted. The vessel crew disembarked the passengers to another vessel and were able to re-float the vessel. Once re-floated the passengers were taken back on board and the vessel made its way back to port under it's own power. There were no injuries, pollution or damage sustained.",Grounding / Stranding,Low
"A general cargo vessel had just left the berth and crossed the turning basin. The vessel crew under the guidance of the pilot altered to port. The pilot reportedly gave the instruction for port 10 but the rudder indicator showed hard to port. When the pilot asked the helm for hard to starboard to counter the swing, the helm reported that it was jammed hard to port. The vessel was closing towards a concrete pier and despite the efforts of the bridge team, they could not regain steering. The master ordered the anchor to be dropped to halt the swing and this was successful. A tug was dispatched and aided the vessel back towards deeper water and the vessel was able to regain steering and continue out of the port without further incident, using non follow up steering.",Loss Of Control,Critical
"A cruise ship passenger was attempting to adjust the position of the sun lounger they had been using, but they tripped over one of the legs and fell to the deck, resulting in a fracture to their arm. ",Accident to person(s),Low
"A ro-pax vessel was carrying out a test release on the Marine Evacuation System (MES) when it failed to deploy. The system was then activated manually and the deployment was successful. The failure of its initial deployment was due to a line linked to the firing pin becoming disconnected. The crew was instructed that due to the nature of the design, it's not possible to confirm if this issue will arise before deploying, so all crew should be aware of and able to deploy the MES manually. There were no injuries, damages or pollution. ",Damage / Loss Of Equipment,Critical
"A service vessel's pilot ladder did not conform to SOLAS regulations. Disembarked by ladder while alongside in port, lifebuoy was not immediately available but one was found from elsewhere. Ladder appeared old but in otherwise ok condition. Chief Officer was on deck and was advised to replace ladder and source a suitable lifebuoy before vessel departs.",Damage / Loss Of Equipment,Critical
"A lone crew member was on a sailing vessel that was on a swinging mooring. The mooring chain failed and the vessel drifted free. The specific weather conditions are unknown but it is reported that the winds were high and the solo crew member was struggling to get the vessel onto another mooring by themselves. They requested the assistance of SAR assets and with the assistance of a SAR crew member, were able to safely moor the vessel. ",Damage / Loss Of Equipment,Critical
"Yachts crew member was topping up an inflatable tender with air when their dog jumped at them in the tender resulting in a person overboard incident. The casualty was not wearing a lifejacket however, passing by yachts assisted the casualty and no injuries were sustained. They were in the water for approximately 20 minutes. ",Accident to person(s),Critical
"On board a cruise ship, a passenger fractured their ankle when they tripped over the leg of a sun lounger. ",Accident to person(s),Low
